,client/defaulthttpclient execute,contentresolver query,contentresolver delete,/browser$ NONE,pendingintent getbroadcast,pendingintent abortbroadcast,packagemanager setcomponentenabledsetting,context getsystemservice,activitymanager restartpackage,audio/media getcontenturiforpath,system load,system loadlibrary,runtime exec,runtime getruntime,secretkeyspec NONE,jsonobject put,uri parse,uuid tostring,android/provider/contactscontract$commondatakinds$phone NONE,android/provider/contacts$phones NONE,deviceadminreceiver NONE,audiorecord startrecording,video$media getcontenturi,video$media getcontentresolver,wifiinfo getmacaddress,devicepolicymanager isadminactive,devicepolicymanager locknow,fileoutputstream NONE,httpurlconnection getoutputstream,reflect/accessibleobject setaccessible,environment getexternalstoragedirectory,environment getexternalstoragestate,dexclassloader loadclass,images$media getcontenturi,images$media insertimage,images$media getbitmap,android/provider/calllog$calls NONE,sslhttpsurlconnection getoutputstream,wifimanager getconnectioninfo,wifimanager getwifistate,telephony/itelephony endcall,locationmanager getlastknownlocation,locationmanager requestlocationupdates,smsmanager getdefault,smsmanager sendtextmessage,smsmanager createfrompdu,smsmanager getdisplaymessagebody,smsmanager getmessagebody,smsmanager getoriginatingaddress,smsmanager getuserdata,urlconnection getinputstream,urlconnection getoutputstream,assetmanager getassets,urlclassloader NONE,crypto/keygenerator generateKey,android/provider/contacts NONE,client/httpclient execute,crypto/cipher dofinal,crypto/cipher getinstance,audiomanager setvibratesetting,audiomanager setringermode,secureclassloader NONE,string equalsignorecase,string split,telephonymanager getsubscriberid,telephonymanager getline1number,telephonymanager getnetworkoperator,telephonymanager getsimoperatorname,telephonymanager getsimserialnumber,telephonymanager getcallstate,zipoutputstream close,mediarecorder start,mediarecorder stop,class getdeclaredmethod,gsm/smsmanager sendtextmessage,gsm/smsmanager createfrompdu,gsm/smsmanager getdisplaymessagebody,
003ab99f7f7d48ca07f55323263819a6c7e105c9b6b1f6caf4b5257c72a215c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0064d23c907c96ecff9ebfe21850250483f87038d62ec5d79ff7951ae223f572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00688b0305caad380ea849177259c54a5e9c2bd3c5067eb63d8560383927f754,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,26
00cfe4ba9d4d99b68e976ffd938d260798d521174a5c1b15a283763f57a53163,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
00d319428a8918b6a876c42bab87b9e2e4d6fc92c7223b267b2628f620b84959,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
00f4ec3953f8d87b24cdef90d59e9110fc4fc1d1c150310e9e6d6d408be30439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
011dbc81f09ad4d02286fe330a8b75f160ca4988d771e31dc66cc25f9df10d57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
0149b02468a8e582d76a7ad5094c15a4a07f4f08361ba5b539702d77babfbbc1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12
0170d60a44ff08e77733422af55f8faeaf9172a2014d9131a42bd454467392ad,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,19
01954ce135d4dc018ce0923714a00fd06261b96c37334a1d87a5eaece0a9ae33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
01a6fa81a61e20ba682e5dac4a07663c75d86f13187ecc8f7732813fce17fd9d,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18
01ddd3d15fe5bf13507d39694f572ee204e9bae82fa3607c780ea7e24491ab26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01f7db3761d26a41a1fd3ff1eaf643b59ff771c94dcc7e589ac347cf75c2ab85,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,11
022083f65099d5d7feec679fc31f93583754ab99fd5a1076b4c2204083f5651b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
027780b6073cd98c4d70a88303995ee4f02e8570147f41b0966a31a029ad9690,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,28
0278c53392fe296ee24d0450693871ae13e9f672caa53e8dacfc4ac112323042,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,32
