,0
0,2
1,32
2,25
3,16
4,32
5,12
6,5
7,8
8,19
9,0
10,31
11,14
12,31
13,7
14,30
15,7
16,21
17,34
18,32
19,24
20,19
21,30
22,19
23,29
24,4
25,20
26,10
27,34
28,1
29,32
30,3
31,29
32,9
33,22
34,5
35,0
36,36
37,31
38,17
39,17
40,19
41,17
42,16
43,30
44,31
45,11
46,15
47,8
48,8
49,31
50,31
51,12
52,8
53,31
54,8
55,24
56,16
57,8
58,16
59,32
60,34
61,31
62,17
63,7
64,7
65,22
66,23
67,31
68,23
69,30
70,33
71,8
72,1
73,18
74,30
75,7
76,28
77,31
78,34
79,31
80,31
81,19
82,7
83,23
84,7
85,20
86,19
87,78
88,31
89,26
90,22
91,33
92,31
93,20
94,20
95,32
96,11
97,32
98,0
99,4
100,7
101,24
102,21
103,21
104,8
105,2
106,5
107,8
108,8
109,3
110,27
111,31
112,1
113,18
114,31
115,21
116,29
117,31
118,8
119,20
120,26
121,31
122,5
123,2
124,19
125,27
126,16
127,19
128,32
129,8
130,18
131,5
132,18
133,7
134,23
135,22
136,26
137,31
138,9
139,21
140,30
141,29
142,8
143,18
144,29
145,18
146,7
147,21
148,14
149,31
150,8
151,25
152,9
153,8
154,31
155,32
156,8
157,31
158,9
159,31
160,26
161,25
162,26
163,33
164,7
165,36
166,5
167,26
168,2
169,15
170,1
171,24
172,18
173,1
174,7
175,23
176,17
177,4
178,19
179,8
180,24
181,6
182,28
183,5
184,31
185,32
186,36
187,22
188,7
189,34
190,11
191,8
192,14
193,24
194,25
195,8
196,24
197,31
198,22
199,35
200,30
201,1
202,20
203,34
204,30
205,33
206,31
207,23
208,7
209,14
210,25
211,19
212,19
213,31
214,18
215,9
216,3
217,31
218,8
219,27
220,32
221,22
222,22
223,14
224,8
225,7
226,28
227,29
228,18
229,5
230,4
231,8
232,7
233,27
234,24
235,31
236,27
237,39
238,8
239,17
240,31
241,5
242,9
243,28
244,12
245,8
246,33
247,29
248,19
249,8
250,21
251,31
252,8
253,5
254,36
255,31
256,22
257,7
258,21
259,13
260,21
261,32
262,24
263,8
264,0
265,15
266,8
267,29
268,8
269,3
270,17
271,13
272,8
273,15
274,7
275,31
276,8
277,4
278,8
279,9
280,17
281,16
282,16
283,32
284,8
285,8
286,31
287,8
288,7
289,19
290,31
291,16
292,11
293,22
294,31
295,8
296,8
297,30
298,1
299,7
300,8
301,31
302,4
303,1
304,32
305,8
306,30
307,11
308,31
309,8
310,7
311,31
312,31
313,31
314,31
315,35
316,1
317,19
318,0
319,3
320,11
321,8
322,10
323,5
324,12
325,35
326,25
327,8
328,25
329,23
330,31
331,3
332,3
333,5
334,25
335,24
336,28
337,19
338,12
339,31
340,11
341,7
342,24
343,19
344,17
345,31
346,8
347,23
348,20
349,23
350,28
351,8
352,8
353,7
354,31
355,23
356,10
357,8
358,31
359,7
360,18
361,24
362,8
363,31
364,31
365,20
366,20
367,32
368,30
369,8
370,20
371,19
372,8
373,31
374,27
375,20
376,8
377,28
378,27
379,31
380,14
381,25
382,6
383,9
384,33
385,29
386,31
387,8
388,7
389,31
390,0
391,15
392,7
393,19
394,11
395,14
396,9
397,17
398,3
399,21
400,8
401,30
402,31
403,8
404,6
405,8
406,31
407,11
408,15
409,19
410,19
411,16
412,8
413,14
414,21
415,8
416,7
417,27
418,28
419,13
420,3
421,14
422,32
423,7
424,11
425,3
426,31
427,31
428,27
429,7
430,8
431,27
432,19
433,7
434,30
435,19
436,7
437,31
438,13
439,25
440,3
441,0
442,22
443,18
444,7
445,34
446,8
447,8
448,8
449,25
450,1
451,32
452,25
453,21
454,2
455,8
456,26
457,30
458,8
459,23
460,1
461,14
462,8
463,1
464,17
465,8
466,31
467,7
468,23
469,15
470,8
471,31
472,31
473,31
474,32
475,19
476,8
477,31
478,25
479,29
480,8
481,3
482,3
483,1
484,17
485,21
486,7
487,28
488,19
489,8
490,23
491,19
492,5
493,6
494,7
495,7
496,6
497,32
498,30
499,28
500,31
501,31
502,31
503,10
504,35
505,27
506,8
507,7
508,1
509,33
510,3
511,31
512,22
513,31
514,32
515,30
516,7
517,9
518,7
519,31
520,17
521,31
522,14
523,20
524,32
525,3
526,15
527,24
528,26
529,8
530,35
531,19
532,8
533,31
534,5
535,31
536,21
537,33
538,31
539,8
540,8
541,1
542,3
543,5
544,18
545,9
546,5
547,16
548,19
549,29
550,8
551,20
552,11
553,14
554,9
555,16
556,21
557,25
558,25
559,17
560,31
561,31
562,1
563,3
564,1
565,8
566,32
567,31
568,7
569,8
570,17
571,21
572,39
573,7
574,16
575,8
576,32
577,8
578,19
579,22
580,0
581,9
582,8
583,28
584,7
585,4
586,22
587,30
588,13
589,16
590,24
591,28
592,9
