,0
0,9
1,19
2,2
3,5
4,10
5,21
6,3
7,15
8,8
9,16
10,1
11,1
12,1
13,34
14,7
15,23
16,8
17,13
18,0
19,18
20,0
21,1
22,6
23,30
24,24
25,2
26,12
27,4
28,13
29,26
30,16
31,21
32,15
33,9
34,11
35,20
36,6
37,12
38,9
39,7
40,13
41,7
42,5
43,11
44,10
45,10
46,11
47,1
48,5
49,11
50,7
51,15
52,7
53,2
54,9
55,13
56,14
57,0
58,0
59,10
60,0
61,11
62,10
63,4
64,27
65,2
66,22
67,14
68,2
69,21
70,12
71,6
72,22
73,25
74,7
75,9
76,15
77,19
78,16
79,17
80,6
81,40
82,19
83,1
84,12
85,25
86,15
87,0
88,3
89,8
90,17
91,16
92,10
93,20
94,11
95,15
96,0
97,0
98,26
99,19
100,9
101,3
102,1
103,0
104,2
105,17
106,14
107,0
108,8
109,16
110,10
111,18
112,19
113,11
114,19
115,10
116,16
117,1
118,25
119,2
120,20
121,7
122,10
123,6
124,1
125,10
126,1
127,15
128,12
129,1
130,12
131,19
132,17
133,14
134,4
135,10
136,26
137,15
138,12
139,4
140,4
141,27
142,2
143,26
144,31
145,11
146,12
147,28
148,0
149,10
150,9
151,1
152,6
153,16
154,10
155,2
156,9
157,13
158,26
159,7
160,1
161,0
162,19
163,17
164,12
165,3
166,22
167,0
168,0
169,0
170,15
171,0
172,23
173,16
174,8
175,12
176,9
177,3
178,3
179,10
180,19
181,16
182,16
183,6
184,19
185,0
186,21
187,12
188,0
189,5
190,7
191,19
192,26
193,0
194,14
195,6
196,27
197,25
198,17
199,10
200,9
201,9
202,25
203,16
204,24
205,1
206,3
207,27
208,0
209,32
210,14
211,15
212,1
213,0
214,0
215,1
216,10
217,15
218,10
219,16
220,33
221,0
222,2
223,1
224,2
225,12
226,1
227,19
228,15
229,22
230,13
231,10
232,3
233,17
234,26
235,0
236,1
237,14
238,31
239,1
240,2
241,26
242,2
243,5
244,10
245,1
246,28
247,0
248,18
249,13
250,27
251,1
252,6
253,6
254,1
255,8
256,4
257,10
258,0
259,12
260,10
261,31
262,25
263,12
264,26
265,22
266,20
267,11
268,2
269,8
270,3
271,5
272,14
273,10
274,19
275,9
276,2
277,0
278,3
279,0
280,0
281,1
282,9
283,1
284,0
285,19
286,12
287,2
288,0
289,8
290,5
291,5
292,2
293,0
294,7
295,1
296,4
297,3
298,4
299,1
300,20
301,19
302,21
303,2
304,1
305,28
306,0
307,1
308,4
309,26
310,27
311,17
312,3
313,17
314,10
315,24
316,0
317,2
318,26
319,23
320,1
321,21
322,11
323,26
324,20
325,14
326,10
327,16
328,10
329,1
330,17
331,26
332,0
333,0
334,11
335,1
336,12
337,1
338,4
339,8
340,1
341,26
342,15
343,6
344,3
345,19
346,1
347,19
348,24
349,8
350,3
351,21
352,3
353,6
354,9
355,6
356,20
357,9
358,7
359,9
360,3
361,0
362,27
363,0
364,9
365,11
366,9
367,4
368,15
369,17
370,0
371,7
372,38
373,1
374,28
375,3
376,5
377,20
378,7
379,7
380,6
381,15
382,25
383,5
384,1
385,15
386,1
387,32
388,2
389,13
390,10
391,0
392,3
393,19
394,0
395,9
396,4
397,21
398,10
399,6
400,19
401,11
402,9
403,4
404,2
405,21
406,9
407,1
408,1
409,1
410,6
411,16
412,21
413,6
414,0
415,20
416,19
417,1
418,1
419,16
420,14
421,27
422,22
423,4
424,2
425,20
426,24
