,android/provider/calllog$calls NONE,smsmanager getdefault,smsmanager sendtextmessage,smsmanager createfrompdu,smsmanager getdisplaymessagebody,smsmanager getmessagebody,smsmanager getoriginatingaddress,smsmanager getuserdata,locationmanager getlastknownlocation,locationmanager requestlocationupdates,packagemanager setcomponentenabledsetting,sslhttpsurlconnection getoutputstream,reflect/accessibleobject setaccessible,urlconnection getinputstream,urlconnection getoutputstream,deviceadminreceiver NONE,images$media getcontenturi,images$media insertimage,images$media getbitmap,wifimanager getconnectioninfo,wifimanager getwifistate,jsonobject put,assetmanager getassets,video$media getcontenturi,video$media getcontentresolver,runtime exec,runtime getruntime,telephonymanager getsubscriberid,telephonymanager getline1number,telephonymanager getnetworkoperator,telephonymanager getsimoperatorname,telephonymanager getsimserialnumber,telephonymanager getcallstate,contentresolver query,contentresolver delete,uuid tostring,fileoutputstream NONE,class getdeclaredmethod,crypto/cipher dofinal,crypto/cipher getinstance,gsm/smsmanager sendtextmessage,gsm/smsmanager createfrompdu,gsm/smsmanager getdisplaymessagebody,devicepolicymanager isadminactive,devicepolicymanager locknow,activitymanager restartpackage,system load,system loadlibrary,dexclassloader loadclass,android/provider/contacts NONE,android/provider/contacts$phones NONE,context getsystemservice,mediarecorder start,mediarecorder stop,string equalsignorecase,string split,/browser$ NONE,urlclassloader NONE,android/provider/contactscontract$commondatakinds$phone NONE,audiorecord startrecording,wifiinfo getmacaddress,environment getexternalstoragedirectory,environment getexternalstoragestate,telephony/itelephony endcall,uri parse,secureclassloader NONE,audiomanager setvibratesetting,audiomanager setringermode,zipoutputstream close,httpurlconnection getoutputstream,crypto/keygenerator generateKey,client/httpclient execute,audio/media getcontenturiforpath,pendingintent getbroadcast,pendingintent abortbroadcast,client/defaulthttpclient execute,secretkeyspec NONE,
0012bd8ad04ff7b0a592a9bac147cf136030150862c2091e75facb5a093549a4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,32
003ba411aeae650d04888d55d77937e735fa783854276d4cbdd4f6240dcbb739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0049b80c02aaa7dc86305088a4571b5dfa68f2fcb1205768e53f8ccfeba0dc45,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8
004d92fbf197f97658f817f0d7ca7219729db23b8211a18f3c5a2bc0120e4c0d,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
006410ef5961d7844722c2c3a04115d8ae4fb27a8e3f7369583770cecbb18a76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
006accd18c82579e6e1cf3f05215b85cf8a5a896377f410a0e8d03796fb310ae,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15
006f26fbf6e12e3394a3a6f8d9fcc0d778e768069f62bc7d2751ee66bb9e84ac,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,21
007c0dbcefd339fbd2d6d6c1aa97937aeb7e3652d0d08b615713a02b694056a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
00abe21af896180f2093253f9cc3dc58a175507d6dea6ca85973f1ebc9f276e0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13
00c2a79edafc69c6f31bdd4429889e8af3bc05101fd1218f06b9de1640e2d060,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8
