,0
0,715
1,622
2,5503
3,590
4,578
5,608
6,733
7,1121
8,546
9,5558
10,567
11,611
12,587
13,634
14,609
15,3283
16,457
17,1196
18,581
19,640
20,648
21,487
22,609
23,2346
24,628
25,1449
26,656
27,555
28,575
29,630
30,609
31,649
32,674
33,1972
34,796
35,667
36,1121
37,513
38,730
39,694
40,465
41,609
42,621
43,5503
44,733
45,2143
46,670
47,733
48,609
49,1053
50,554
51,620
52,484
53,671
54,5558
55,558
56,593
57,645
58,611
59,753
60,653
61,793
62,728
63,578
64,731
65,5503
66,684
67,723
68,753
69,555
70,609
71,650
72,1121
73,1121
74,594
75,605
76,592
77,998
78,1245
79,1414
80,1276
81,1121
82,630
83,632
84,583
85,624
86,798
87,5558
88,1121
89,666
90,603
91,989
92,5558
93,5558
94,806
95,5558
96,602
97,872
98,650
99,5503
100,563
101,683
102,1125
103,666
104,806
105,563
106,860
107,5558
108,5558
109,640
110,708
111,5558
112,853
113,669
114,731
115,5558
116,5558
117,754
118,1020
119,690
120,781
121,616
122,772
123,618
124,647
125,1121
126,578
127,5558
128,5558
129,555
130,733
131,555
132,733
133,5558
134,555
135,624
136,623
137,805
138,607
139,697
140,731
141,5558
142,625
143,610
144,756
145,632
146,580
147,637
148,633
149,731
150,4714
151,638
152,925
153,609
154,620
155,646
156,909
157,653
158,619
159,613
160,743
161,585
162,624
163,575
164,629
165,731
166,640
167,698
168,1414
169,600
170,648
171,588
172,801
173,605
174,662
175,731
176,744
177,731
178,609
179,1245
180,656
181,5558
182,622
183,2346
184,753
185,1136
186,625
187,523
188,731
189,648
190,662
191,719
192,656
193,695
194,2346
195,1101
196,668
197,641
198,600
199,593
200,662
201,593
202,5558
203,5503
204,989
205,634
206,633
207,602
208,5470
209,1886
210,609
211,756
212,5558
213,563
214,669
215,653
216,609
217,577
218,637
219,5558
220,595
221,517
222,580
223,617
224,576
225,744
226,5558
227,822
228,560
229,5558
230,703
231,1019
232,787
233,731
234,5558
235,1107
236,674
237,642
238,609
239,2240
240,637
241,703
242,5558
243,577
244,662
245,728
246,678
247,621
248,753
249,628
250,626
251,615
252,644
253,5470
254,663
255,555
256,1121
257,5558
258,580
259,693
260,630
261,640
262,456
263,603
264,670
265,614
266,1012
267,678
268,626
269,2242
270,578
271,465
272,479
273,653
274,662
275,641
276,665
277,669
278,597
279,577
280,609
281,497
282,580
283,731
284,665
285,5503
286,5558
287,5558
288,663
289,2283
290,1289
291,607
292,1068
293,580
294,772
295,609
296,997
297,592
298,596
299,610
300,576
301,663
302,731
303,570
304,731
305,573
306,1012
307,1050
308,650
309,479
310,691
311,584
312,659
313,1345
314,1121
315,768
316,570
317,5470
318,598
319,626
320,631
321,582
322,554
323,5558
324,766
325,3283
326,563
327,872
328,1121
329,669
330,989
331,5503
332,622
333,5558
334,974
335,580
336,619
337,587
338,452
339,596
340,5558
341,832
342,3283
343,5558
344,750
345,555
346,1026
347,477
348,978
349,550
350,674
351,1012
352,575
353,670
354,806
355,739
356,711
357,677
358,563
359,733
360,642
361,610
362,555
363,589
364,555
365,725
366,591
367,618
368,1196
369,600
370,646
371,731
372,494
373,601
374,756
375,637
376,5558
377,512
378,936
379,577
380,511
381,2526
382,853
383,605
384,676
385,511
386,484
387,3105
388,601
389,668
390,555
391,579
392,577
393,1121
394,504
395,511
396,3488
397,1121
398,5503
399,3283
400,4888
401,659
402,772
403,609
404,1016
405,587
406,739
407,959
408,621
409,798
410,597
411,630
412,989
413,583
414,5558
415,693
416,681
417,609
418,4888
419,609
420,1104
421,668
422,611
423,684
424,5558
425,625
426,1048
427,464
428,5558
429,652
430,783
431,873
432,731
433,462
434,637
435,651
436,601
437,1128
438,5558
439,720
440,577
441,5558
442,639
443,1047
444,651
445,661
446,590
447,619
448,633
449,625
450,585
451,696
452,660
453,584
454,1242
455,673
456,648
457,1214
458,731
459,578
460,656
461,974
462,581
463,756
464,834
465,1857
466,648
467,471
468,778
469,4888
470,624
471,753
472,738
473,689
474,662
475,558
476,739
477,616
478,1414
479,555
480,804
481,1053
482,544
483,1626
484,554
485,655
486,648
487,649
488,580
489,5558
490,881
491,488
492,608
493,872
494,1121
495,646
496,1121
497,587
498,802
499,609
500,773
501,588
502,719
503,585
504,627
505,671
506,497
507,2526
508,662
509,560
510,671
511,1121
512,699
513,5503
514,961
515,609
516,669
517,753
518,757
519,591
520,608
521,512
522,662
523,5558
524,609
525,557
526,709
527,3841
528,733
529,707
530,668
531,609
532,644
533,609
534,593
535,460
536,561
537,5558
538,713
539,630
540,602
541,5503
542,977
543,609
544,896
545,611
546,640
547,612
548,738
549,718
550,670
551,576
552,579
553,563
554,575
555,723
556,594
557,634
558,588
559,5558
560,2526
561,872
562,670
563,5558
564,670
565,550
566,5558
567,733
568,656
569,637
570,668
571,662
572,677
573,5558
574,731
575,1414
576,636
577,881
578,644
579,606
580,1414
581,725
582,5503
583,753
584,670
585,728
586,587
587,486
588,731
589,708
590,563
591,684
592,724
593,753
594,931
595,872
596,580
597,688
598,872
599,454
600,570
601,853
602,5558
603,731
604,609
605,665
606,2139
607,641
608,1101
609,5558
610,593
611,665
612,604
613,5558
614,662
615,621
616,647
617,674
618,628
619,636
620,674
621,670
622,609
623,816
624,741
625,5558
626,2346
627,731
628,670
629,627
630,628
631,527
632,5558
633,782
634,4888
635,609
636,853
637,607
638,813
639,456
640,2346
641,603
642,599
643,5558
644,772
645,5558
646,609
647,731
648,1087
649,626
650,672
651,655
652,838
653,644
654,870
655,677
656,5558
657,663
658,546
659,760
660,753
661,747
662,608
663,609
664,632
665,753
666,566
667,628
668,638
669,5558
670,824
671,745
672,1270
673,5558
674,744
675,5558
676,715
677,601
678,745
679,678
680,548
681,622
682,1059
683,597
684,3671
685,638
686,5558
687,456
688,693
689,1145
690,1121
691,731
692,593
693,796
694,822
695,1158
696,2033
697,782
698,5558
699,723
700,631
701,1028
702,842
703,764
704,609
705,740
706,974
707,644
708,633
709,834
710,580
711,665
712,739
713,5558
714,608
715,582
716,669
717,636
718,717
719,5503
720,676
721,625
722,731
723,577
724,597
725,589
726,721
727,657
728,5558
729,936
730,702
731,632
732,679
733,733
734,593
735,626
736,872
737,652
738,5558
739,5558
740,606
741,736
742,989
743,593
744,742
745,648
746,655
747,5558
748,1092
749,609
750,645
751,729
752,5470
753,753
754,609
755,609
756,879
757,597
758,1121
759,733
760,611
761,609
762,730
763,659
764,1345
765,610
766,609
767,556
768,601
769,764
770,562
771,862
772,777
773,1121
774,654
775,731
776,1024
777,5558
778,2526
779,3283
780,1202
781,698
782,633
783,1121
784,606
785,555
786,957
787,588
788,618
789,637
790,708
791,609
792,638
793,733
794,1345
795,757
796,5558
797,731
798,627
799,4113
800,555
801,609
802,603
803,477
804,823
805,722
806,564
807,757
808,1445
809,872
810,733
811,834
812,555
813,725
814,617
815,642
816,609
817,683
818,1414
819,577
820,902
821,609
822,591
823,2346
824,648
825,2700
826,5558
827,677
828,863
829,603
830,1146
831,630
832,1121
833,753
834,576
835,5558
836,731
837,731
838,816
839,1121
840,631
841,699
842,731
843,5558
844,1122
845,982
846,733
847,2240
848,1106
849,622
850,554
851,834
852,650
853,872
854,731
855,460
856,637
857,631
858,2227
859,627
860,597
861,5558
862,1121
863,577
864,622
865,581
866,663
867,1414
868,3887
869,637
870,707
871,649
872,659
873,460
874,635
875,629
876,637
877,617
878,1064
879,611
880,717
881,663
882,889
883,598
884,680
885,580
886,731
